"_type","budget_dinner","budget_lunch","genre","name","reviewCount","score","score_dinner","score_lunch"
"dict","￥1,000～￥1,999"," ～￥999","広東料理、飲茶・点心、中華麺（その他）","
                中華料理　龍鳳酒家
              ","104","3.52","3.51","3.47"
"dict","￥10,000～￥14,999","￥2,000～￥2,999","懐石・会席料理","
                ふた川
              ","27","3.53","3.51","3.52"
"dict","￥3,000～￥3,999"," ～￥999","四川料理、飲茶・点心、中華料理","
                景徳鎮
              ","492","3.61","3.66","3.59"
"dict","￥6,000～￥7,999","￥1,000～￥1,999","日本酒バー、割烹・小料理、魚介料理・海鮮料理","
                横濱人
              ","38","3.10","3.10","3.06"
"dict","￥3,000～￥3,999"," ～￥999","広東料理、中華料理、四川料理","
                一楽
              ","164","3.58","3.58","3.58"
"dict","￥1,000～￥1,999"," ～￥999","中華料理、餃子、居酒屋","
                東珍味
              ","18","3.30","3.30","3.21"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","中華料理、広東料理、台湾料理","
                福臨閣
              ","32","3.00","3.00","3.04"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","中華粥、中華料理、飲茶・点心","
                謝甜記 貮号店
              ","570","3.60","3.58","3.60"
"dict","￥3,000～￥3,999","null","居酒屋、焼鳥、日本酒バー","
                友酒家
              ","31","3.56","3.56","-"
"dict","￥3,000～￥3,999","￥2,000～￥2,999","広東料理、飲茶・点心、バイキング","
                大珍樓
              ","134","3.53","3.51","3.46"
"dict","￥3,000～￥3,999","null","ダイニングバー、ハンバーガー、洋食","
                ウィンドジャマー
              ","77","3.51","3.51","3.05"
"dict","￥10,000～￥14,999","￥10,000～￥14,999","懐石・会席料理","
                料理屋 真砂茶寮
              ","18","3.62","3.58","3.56"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","中華料理、中国鍋・火鍋、広東料理","
                永華樓
              ","46","2.98","2.99","2.98"
"dict","￥6,000～￥7,999","￥3,000～￥3,999","北京料理","
                華正樓 新館
              ","58","3.54","3.51","3.52"
"dict","￥4,000～￥4,999"," ～￥999","カフェ、フレンチ、レストラン（その他）","
                カフェ・ド・ラペ
              ","31","3.08","3.09","3.00"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","中華料理","
                桃桃林
              ","19","3.16","3.04","3.16"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","イタリアン、ダイニングバー、バー","
                俺蔵
              ","17","3.09","3.06","3.14"
"dict","￥4,000～￥4,999","￥2,000～￥2,999","フレンチ、野菜料理、西洋各国料理（その他）","
                Le Petit Courageux
              ","63","3.58","3.57","3.55"
"dict"," ～￥999"," ～￥999","インド料理、インドカレー、居酒屋","
                インドダイニング＆バー　サティー
              ","null","-","-","-"
"dict","￥4,000～￥4,999","null","焼肉、韓国料理、居酒屋","
                オモニの美味しい韓国焼肉料理　石川苑
              ","null","-","-","-"
"dict","￥3,000～￥3,999"," ～￥999","広東料理、カレーライス、中華料理","
                保昌
              ","216","3.58","3.57","3.58"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","焼肉、ホルモン、韓国料理","
                焼肉 東京山
              ","31","3.59","3.59","3.21"
"dict","￥1,000～￥1,999"," ～￥999","台湾料理、中華料理、居酒屋","
                秀味園
              ","212","3.56","3.53","3.52"
"dict","￥2,000～￥2,999","null","ハンバーガー、ダイニングバー、カフェ","
                フラッシュバック・カフェ
              ","24","3.28","3.05","3.27"
"dict","￥2,000～￥2,999","null","バー、ダイニングバー","
                bar SLOW
              ","7","3.04","3.04","-"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","北京料理、肉まん・中華まん","
                横浜中華街　北京飯店
              ","185","3.57","3.19","3.57"
"dict","￥1,000～￥1,999"," ～￥999","広東料理、飲茶・点心、居酒屋","
                青海星
              ","44","3.22","3.09","3.32"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","焼肉、ホルモン","
                しげ吉 横浜元町店
              ","137","3.60","3.59","3.58"
"dict","￥4,000～￥4,999"," ～￥999","上海料理、広東料理、中華料理","
                三和楼
              ","120","3.58","3.57","3.59"
"dict","￥4,000～￥4,999","null","焼肉、ホルモン、韓国料理","
                焼肉厨房 天龍 長者町店
              ","11","3.22","3.22","-"
"dict","￥6,000～￥7,999","￥2,000～￥2,999","イタリアン、パスタ","
                リオス ボングスタイオ
              ","73","3.82","3.82","3.63"
"dict","￥3,000～￥3,999"," ～￥999","沖縄料理、沖縄そば、居酒屋","
                うるうるま
              ","63","3.52","3.30","3.42"
"dict","￥6,000～￥7,999","￥1,000～￥1,999","フレンチ、カレー（その他）","
                カフェラウンジエム
              ","null","-","-","-"
